repo_url,full_name,owner_login,description,language,stars_count,forks_count,open_issues_count,total_commits,months_with_activity,avg_commits_per_month,most_active_month,most_active_month_commits,archived,disabled,visibility,has_solidity,has_vyper,uses_solmate,uses_solady,has_scaffold_config
https://github.com/rostyslavbortman/v4-periphery/,rostyslavbortman/v4-periphery,RostyslavBortman,🦄 🦄 🦄 🦄 Peripheral smart contracts for interacting with Uniswap v4,Solidity,0,0,0,145,7,20.71,2024-08,58,False,False,public,True,False,True,False,False
https://github.com/superform-xyz/superform-core/,superform-xyz/superform-core,superform-xyz,,Solidity,71,29,12,145,5,29.0,2024-09,76,False,False,public,True,False,True,True,False
https://github.com/velodrome-finance/uniswap-v4-periphery/,velodrome-finance/uniswap-v4-periphery,velodrome-finance,,,0,0,0,145,7,20.71,2024-08,58,False,False,public,True,False,True,False,False
https://github.com/jamiebones/chainlink-hackathon/,jamiebones/chainlink-hackathon,jamiebones,psiX is a Private Synthetic Equities & Perpetual DEX project submitted for the Chainlink Hackathon 2025.  ,JavaScript,3,3,0,144,2,72.0,2025-06,143,False,False,public,True,False,True,False,False
https://github.com/plumenetwork/nucleus-boring-vault/,plumenetwork/nucleus-boring-vault,plumenetwork,,Solidity,0,1,0,143,4,35.75,2024-08,79,False,False,public,True,False,True,False,False
https://github.com/midcontract/contracts/,midcontract/contracts,midcontract,This repository contains the smart contract suite used in Midcontract project,Solidity,1,1,0,139,8,17.38,2024-08,30,False,False,public,True,False,True,False,False
https://github.com/flex-community/v2-evm/,flex-community/v2-evm,Flex-Community,Smart Contracts for HMXv2. EVM Compatible Only.,Solidity,0,0,1,138,13,10.62,2025-01,45,False,False,public,True,False,True,False,False
https://github.com/kelvinpraises/capyflow/,kelvinpraises/capyflow,kelvinpraises,trust networks token distribution,TypeScript,0,1,1,138,2,69.0,2024-12,89,False,False,public,True,False,True,False,False
https://github.com/sizecredit/size-solidity/,sizecredit/size-solidity,SizeCredit,Size is a credit marketplace with unified liquidity across maturities,Solidity,19,8,0,138,12,11.5,2025-01,25,False,False,public,True,False,True,True,False
https://github.com/bulla-network/bulla-contracts-v2/,bulla-network/bulla-contracts-v2,bulla-network,🚧 WIP 🚧 V2 smart contracts for Bulla Network,Solidity,0,0,2,135,6,22.5,2025-06,56,False,False,public,True,False,True,False,False
https://github.com/erc6900/ercs/,erc6900/ercs,erc6900,The Ethereum Request for Comment repository ,Solidity,1,2,1,134,5,26.8,2024-08,33,False,False,public,True,False,True,True,False
https://github.com/rarible/protocol-contracts/,rarible/protocol-contracts,rarible,Interfaces for smart contracts used by Rarible,JavaScript,394,234,1,134,12,11.17,2025-08,29,False,False,public,True,False,True,False,False
https://github.com/p2p-org/p2p-lending-proxy/,p2p-org/p2p-lending-proxy,p2p-org,,Solidity,2,1,2,133,3,44.33,2024-12,70,False,False,public,True,False,True,False,False
https://github.com/primus-labs/pancakeswapv4-cex-trading-hooks/,primus-labs/pancakeswapv4-cex-trading-hooks,primus-labs,,Solidity,1,4,0,133,5,26.6,2025-01,87,False,False,public,True,False,True,False,False
https://github.com/velodrome-finance/universal-router/,velodrome-finance/universal-router,velodrome-finance,Velodrome Finance Universal Router Contracts,Solidity,2,1,0,133,11,12.09,2024-09,31,False,False,public,True,False,True,False,False
https://github.com/flashbots/flashtestations/,flashbots/flashtestations,flashbots,flash attestations,Solidity,2,1,0,131,4,32.75,2025-06,44,False,False,public,True,False,True,True,False
https://github.com/sizecredit/size-periphery/,sizecredit/size-periphery,SizeCredit,Auxiliary contracts which interact with the core Size protocol,Solidity,0,0,2,129,9,14.33,2025-06,26,False,False,public,True,False,True,True,False
https://github.com/philix27/board-masters/,philix27/board-masters,Philix27,Chess and Checkers Dapp,TypeScript,0,0,8,128,1,128.0,2024-08,128,False,False,public,True,False,True,False,False
https://github.com/tnkshuuhei/ies-contracts/,tnkshuuhei/ies-contracts,tnkshuuhei,Core contracts of IES(Impact Evaluation Service),Solidity,2,0,0,126,3,42.0,2024-10,92,False,False,public,True,False,True,True,False
https://github.com/kopio-dev/kopio-lib/,kopio-dev/kopio-lib,kopio-dev,ts/sol libraries of the kopio project,Solidity,0,0,0,123,3,41.0,2024-09,74,False,False,public,True,False,True,False,False
https://github.com/nayms/contracts-v3/,nayms/contracts-v3,nayms,Nayms Smart Contracts v3,Solidity,11,5,3,122,6,20.33,2024-10,40,False,False,public,True,False,True,True,False
https://github.com/partydao/diamante-mine/,partydao/diamante-mine,PartyDAO,,Solidity,1,0,0,121,11,11.0,2025-07,52,False,False,public,True,False,True,False,False
https://github.com/solv-finance/solvbtc/,solv-finance/solvbtc,solv-finance,,Solidity,0,2,0,121,11,11.0,2024-12,41,False,False,public,True,False,True,False,False
https://github.com/wenhao1223/lancyparcel/,wenhao1223/lancyparcel,WenHao1223,"Secure, Transparent, and Immutable Parcel Tracking System, that helps e-commerce logistics companies securely track parcels.",Solidity,0,0,0,121,1,121.0,2025-03,121,False,False,public,True,False,True,False,True
https://github.com/socketdottech/socket-dl/,socketdottech/socket-dl,SocketDotTech,,Solidity,43,26,16,120,12,10.0,2025-02,27,False,False,public,True,False,True,True,False
https://github.com/saucepoint/mixed-quoter/,saucepoint/mixed-quoter,saucepoint,New repo for the mixed quoter contract,Solidity,0,0,0,119,8,14.88,2024-09,83,False,False,public,True,False,True,False,False
https://github.com/assured-rwa/assured/,assured-rwa/assured,Assured-RWA,,Solidity,0,2,0,118,2,59.0,2024-09,88,False,False,public,True,False,True,False,False
https://github.com/domnpp/metana-bootcamp/,domnpp/metana-bootcamp,domnpp,Solidity learning,TypeScript,0,0,0,118,8,14.75,2025-04,37,False,False,public,True,False,True,True,False
https://github.com/arcadia-finance/lending-v2/,arcadia-finance/lending-v2,arcadia-finance,,Solidity,28,14,0,117,11,10.64,2025-06,24,False,False,public,True,False,True,False,False
https://github.com/easonchai/horus/,easonchai/horus,easonchai,Horus - AI Agent For Wallet Security,Solidity,1,1,0,117,2,58.5,2025-02,79,False,False,public,True,False,True,False,False
https://github.com/fastjpeg/contracts-v1/,fastjpeg/contracts-v1,fastjpeg,fastjpeg token factory,Solidity,0,0,0,117,3,39.0,2025-03,76,False,False,public,True,False,True,False,False
https://github.com/yolo-protocol/yolo-core-v0/,yolo-protocol/yolo-core-v0,YOLO-Protocol,The repository for V0 version of the core smart contracts.,Solidity,0,4,0,115,2,57.5,2025-06,77,False,False,public,True,False,True,False,False
https://github.com/yieldlayer/spool-v2-core/,yieldlayer/spool-v2-core,YieldLayer,,Solidity,0,0,0,114,7,16.29,2024-08,43,False,False,public,True,False,True,False,False
https://github.com/cork-technology/v1-router/,cork-technology/v1-router,Cork-Technology,Cork Protocol's V1 Router,Solidity,0,0,3,113,3,37.67,2025-03,64,False,False,public,True,False,True,False,False
https://github.com/stationsstation/quotation_station/,stationsstation/quotation_station,StationsStation,,Python,1,0,1,113,1,113.0,2024-09,113,False,False,public,True,False,True,False,False
https://github.com/zharta/lending-protocol-v2/,zharta/lending-protocol-v2,Zharta,,Python,36,9,1,112,10,11.2,2024-09,39,False,False,public,True,True,True,False,False
https://github.com/b-beam-bab/davidprotocol/,b-beam-bab/davidprotocol,b-beam-bab,,Solidity,0,0,0,111,1,111.0,2024-11,111,False,False,public,True,False,True,False,False
